,X,tracks,track_id,popularity,artist,artist_full,artist_id,album,album_id,user_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,analysis_url,display_name,user_followers,artist.1,genres,artist_id.1,artist_popularity,artist_followers,year
433,433,Sundan Mo Ko,3uQxelXb6c2IMuH5tsFNs2,0.51,Al James,Al James feat. Lola Amour,2G7VQ1kVhVfNagytlousgm,Sundan Mo Ko,3JeMA5cIY58m31aXTx1hUr,husaymonji,0.701,0.679,7,-7.066,0,0.0443,0.599,4.70E-05,0.204,0.468,110.045,265545,4,spotify:track:3uQxelXb6c2IMuH5tsFNs2,https://api.spotify.com/v1/audio-analysis/3uQxelXb6c2IMuH5tsFNs2,szx,26,Al James,"opm,pinoy alternative rap,pinoy hip hop,pinoy r&b,pinoy trap,tagalog rap",2G7VQ1kVhVfNagytlousgm,59,479637,2020
434,434,Put to Waste,4OycBztZDBVtuJ5QtrYGqv,0.33,Bullet Dumas,Bullet Dumas,1hFH6NZJrhl0Un65IZxlZH,USISA,7B8fw0oZMsyFsqItcF7eqn,husaymonji,0.541,0.195,4,-14.204,1,0.0537,0.889,9.33E-06,0.118,0.131,92.03,290645,4,spotify:track:4OycBztZDBVtuJ5QtrYGqv,https://api.spotify.com/v1/audio-analysis/4OycBztZDBVtuJ5QtrYGqv,szx,26,Bullet Dumas,"pinoy indie,pinoy rock",1hFH6NZJrhl0Un65IZxlZH,26,27056,2020
435,435,Say So,3Dv1eDb0MEgF93GpLXlucZ,0.84,Doja Cat,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Hot Pink,1MmVkhiwTH0BkNOU3nw5d3,husaymonji,0.787,0.673,11,-4.583,0,0.159,0.264,3.35E-06,0.0904,0.779,110.962,237893,4,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,https://api.spotify.com/v1/audio-analysis/3Dv1eDb0MEgF93GpLXlucZ,szx,26,Doja Cat,"dance pop,pop",5cj0lLjcoR7YOSnhnX0Po5,94,13194411,2020
436,436,Enter Sandman,5sICkBXVmaCQk5aISGR3x1,0.81,Metallica,Metallica,2ye2Wgw4gimLv2eAKyk1NB,Metallica,2Kh43m04B1UkVcpcRa1Zug,husaymonji,0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257,331267,4,spotify:track:5sICkBXVmaCQk5aISGR3x1,https://api.spotify.com/v1/audio-analysis/5sICkBXVmaCQk5aISGR3x1,szx,26,Metallica,"hard rock,metal,old school thrash,rock,thrash metal",2ye2Wgw4gimLv2eAKyk1NB,84,19785469,2020
437,437,Pahinga,0KeZ6mv7rL5wfF7TuxSUdk,0.59,Al James,Al James,2G7VQ1kVhVfNagytlousgm,Pahinga,1YBSzwtL5iFhI26fmovaIb,husaymonji,0.785,0.647,11,-6.577,0,0.0785,0.722,5.03E-05,0.102,0.505,106.072,223585,4,spotify:track:0KeZ6mv7rL5wfF7TuxSUdk,https://api.spotify.com/v1/audio-analysis/0KeZ6mv7rL5wfF7TuxSUdk,szx,26,Al James,"opm,pinoy alternative rap,pinoy hip hop,pinoy r&b,pinoy trap,tagalog rap",2G7VQ1kVhVfNagytlousgm,59,479637,2020
438,438,Tugtog,12b2EhNjjC3sAPVNwQ8p67,0.3,Bullet Dumas,Bullet Dumas feat. John Apura feat. Yuna Reguerra feat. Jacques Dufourt feat. Abe Billano,1hFH6NZJrhl0Un65IZxlZH,USISA,7B8fw0oZMsyFsqItcF7eqn,husaymonji,0.588,0.317,11,-9.367,0,0.0284,0.565,0.0134,0.109,0.237,94.048,380268,4,spotify:track:12b2EhNjjC3sAPVNwQ8p67,https://api.spotify.com/v1/audio-analysis/12b2EhNjjC3sAPVNwQ8p67,szx,26,Bullet Dumas,"pinoy indie,pinoy rock",1hFH6NZJrhl0Un65IZxlZH,26,27056,2020
439,439,Feel Special,2HtcPHFdo7eu4Ilbvb0BVI,0.03,TWICE,TWICE,7n2Ycct7Beij7Dj7meI4X0,Feel Special,5MmndGNrJgTLd5W7HNmVST,husaymonji,0.709,0.959,1,-1.339,1,0.0603,0.0296,0.00188,0.107,0.644,128.983,206867,4,spotify:track:2HtcPHFdo7eu4Ilbvb0BVI,https://api.spotify.com/v1/audio-analysis/2HtcPHFdo7eu4Ilbvb0BVI,szx,26,TWICE,"k-pop,k-pop girl group",7n2Ycct7Beij7Dj7meI4X0,86,11628839,2020
440,440,Neo-Manila,4HYDBz8s2eJGXMp8YEpdDv,0.23,KOLATERAL,KOLATERAL feat. BLKD,5VtAIbaGnzEbVXhhTMaWgJ,Kolateral,1RRTfc96TgKLfhLeb7DJA6,husaymonji,0.759,0.635,7,-6.039,1,0.0419,0.131,0.000632,0.559,0.35,99.965,144756,4,spotify:track:4HYDBz8s2eJGXMp8YEpdDv,https://api.spotify.com/v1/audio-analysis/4HYDBz8s2eJGXMp8YEpdDv,szx,26,KOLATERAL,"pinoy indie,tagalog rap",5VtAIbaGnzEbVXhhTMaWgJ,30,12452,2020
441,441,Jigga What / Faint,4pnFRnCOfaETea25g0YSvG,0.57,JAY-Z,JAY-Z feat. Linkin Park,3nFkdlSjzX9mRTtwJOzDYB,Collision Course (Deluxe Version),5NH94cATqx5fjBE794xZLy,husaymonji,0.579,0.96,1,-3.152,0,0.245,0.102,0,0.0674,0.566,133.63,211173,4,spotify:track:4pnFRnCOfaETea25g0YSvG,https://api.spotify.com/v1/audio-analysis/4pnFRnCOfaETea25g0YSvG,szx,26,JAY-Z,"east coast hip hop,hip hop,rap",3nFkdlSjzX9mRTtwJOzDYB,86,6801469,2020
442,442,Ninuno,4RUQoxlSiE34cFGwDv81b7,0.28,Bullet Dumas,Bullet Dumas,1hFH6NZJrhl0Un65IZxlZH,Bullet Dumas,2UZhawvNsdrVrhrxKiVwOz,husaymonji,0.426,0.398,1,-14.282,1,0.0387,0.626,3.56E-06,0.0943,0.824,77.314,325200,4,spotify:track:4RUQoxlSiE34cFGwDv81b7,https://api.spotify.com/v1/audio-analysis/4RUQoxlSiE34cFGwDv81b7,szx,26,Bullet Dumas,"pinoy indie,pinoy rock",1hFH6NZJrhl0Un65IZxlZH,26,27056,2020
